T_max,T_min,L,best_distance,time
6.0,1.0,5.0,2133.6391935598685,1.3611812591552734
6.0,1.0,10.0,2133.6391935598685,2.738197088241577
6.0,1.0,25.0,2133.6391935598685,6.740911483764648
6.0,1.0,50.0,2133.6391935598685,13.831326723098755
6.0,1.0,100.0,2133.6391935598685,27.25334119796753
6.0,1.0,250.0,2197.7825498955067,79.70057153701782
250.0,1.0,5.0,2117.504422089841,2.1974196434020996
250.0,1.0,10.0,2034.7741969644212,6.404705762863159
250.0,1.0,25.0,2062.9380907215586,13.763075351715088
250.0,1.0,50.0,2034.7741969644212,34.54530930519104
250.0,1.0,100.0,2058.9171357342557,49.28814768791199
250.0,1.0,250.0,2034.774196964421,118.21108937263489
250.0,5.0,5.0,2058.917135734256,4.144379377365112
250.0,5.0,10.0,2047.9028615748268,9.814992189407349
250.0,5.0,25.0,2047.9028615748266,36.557401180267334
250.0,5.0,50.0,2034.7741969644212,34.745694160461426
250.0,5.0,100.0,2034.774196964421,86.30540990829468
250.0,5.0,250.0,2034.7741969644212,283.7530584335327
250.0,10.0,5.0,2080.8656263020143,2.602417230606079
250.0,10.0,10.0,2034.774196964421,10.024258136749268
250.0,10.0,25.0,2064.4677311512105,13.340529441833496
250.0,10.0,50.0,2034.7741969644212,38.815430641174316
250.0,10.0,100.0,2040.3247923813756,57.36233687400818
250.0,10.0,250.0,2045.7884711238503,115.00431275367737
250.0,25.0,5.0,2034.774196964421,6.510812520980835
250.0,25.0,10.0,2034.7741969644212,8.999838590621948
250.0,25.0,25.0,2034.774196964421,17.058577299118042
250.0,25.0,50.0,2062.9380907215586,27.047045946121216
250.0,25.0,100.0,2034.7741969644212,91.6404914855957
250.0,25.0,250.0,2034.7741969644214,171.0435347557068
250.0,50.0,5.0,2330.7338787584217,0.6541421413421631
250.0,50.0,10.0,2382.859433184403,1.2408807277679443
250.0,50.0,25.0,2357.8519381372325,3.074500560760498
250.0,50.0,50.0,2153.02660473312,6.160125732421875
250.0,50.0,100.0,2151.391731392315,12.630598783493042
250.0,50.0,250.0,2172.0856020416195,31.75865912437439
250.0,125.0,5.0,4122.087460407551,0.022592782974243164
250.0,125.0,10.0,3522.9894368097907,0.043785810470581055
250.0,125.0,25.0,3373.317865205151,0.11815738677978516
250.0,125.0,50.0,3636.060979603976,0.22975945472717285
250.0,125.0,100.0,3417.2426462324734,0.4641122817993164
250.0,125.0,250.0,3290.8265266984017,1.1341123580932617
500.0,1.0,5.0,2418.605041327003,4.136795997619629
500.0,1.0,10.0,2531.2106520195284,10.735238552093506
500.0,1.0,25.0,2387.808237570789,22.274550676345825
500.0,1.0,50.0,2294.15840613757,35.7258198261261
500.0,1.0,100.0,2345.8844598847627,74.42015862464905
500.0,1.0,250.0,2072.8839098962612,493.9900472164154
500.0,5.0,5.0,2596.6956255424143,3.570861339569092
500.0,5.0,10.0,2476.609387629864,11.859563827514648
500.0,5.0,25.0,2252.165221178837,40.99445652961731
500.0,5.0,50.0,2337.5574807356593,36.862077474594116
500.0,5.0,100.0,2244.6178216211074,102.14081835746765
500.0,5.0,250.0,2263.396142272635,230.97803139686584
500.0,10.0,5.0,2409.947377114943,4.030607223510742
500.0,10.0,10.0,2572.3445982059916,7.84597110748291
500.0,10.0,25.0,2342.2602598013723,25.84583020210266
500.0,10.0,50.0,2241.7857060116753,50.60729503631592
500.0,10.0,100.0,2263.6218518973164,95.12988328933716
500.0,10.0,250.0,2134.1695605522636,337.21684670448303
500.0,25.0,5.0,2523.6033301552607,3.935499906539917
500.0,25.0,10.0,2398.405944927436,9.77432656288147
500.0,25.0,25.0,2290.3268232138626,28.963602304458618
500.0,25.0,50.0,2185.34596431518,41.98565745353699
500.0,25.0,100.0,2271.481993633459,86.39065265655518
250.0,1.0,5.0,2354.031573474852,4.156995058059692
250.0,1.0,10.0,2351.9189553750025,5.72804856300354
250.0,1.0,25.0,2250.493468604498,24.289808750152588
250.0,1.0,50.0,2265.7670293286387,38.341240644454956
250.0,5.0,5.0,2338.7297185390244,3.89605450630188
250.0,5.0,10.0,2267.9651304742506,10.673274993896484
250.0,5.0,25.0,2293.568431651893,23.292130708694458
250.0,5.0,50.0,2255.8373897939155,42.604881048202515
250.0,10.0,5.0,2371.287373742703,4.085149765014648
250.0,10.0,10.0,2226.23342877912,10.46677041053772
250.0,10.0,25.0,2246.7345709782962,25.773215770721436
250.0,10.0,50.0,2250.493468604498,49.09875726699829
250.0,25.0,5.0,2271.537688840126,6.104052782058716
250.0,25.0,10.0,2338.6026390056822,5.613479137420654
250.0,25.0,25.0,2269.4134792573104,27.158465147018433
250.0,25.0,50.0,2269.6857020423413,21.382192850112915
250.0,50.0,5.0,2553.7925107129972,0.5956196784973145
250.0,50.0,10.0,2460.2958378644794,1.1575398445129395
250.0,50.0,25.0,2379.216403331184,2.8978145122528076
250.0,50.0,50.0,2376.74801159043,5.761484384536743
250.0,125.0,5.0,4101.402812729211,0.022140979766845703
250.0,125.0,10.0,3878.7037021358815,0.0580289363861084
250.0,125.0,25.0,3971.3256807845396,0.1277155876159668
250.0,125.0,50.0,3408.064641301428,0.2259516716003418
500.0,1.0,5.0,2648.69095397744,3.2173757553100586
500.0,1.0,10.0,2592.465269899324,6.028942346572876
500.0,1.0,25.0,2433.746894914777,21.423484802246094
500.0,1.0,50.0,2505.268423644609,68.26872253417969
500.0,5.0,5.0,2602.2328996816027,6.6630859375
500.0,5.0,10.0,2575.312015788438,10.765462636947632
500.0,5.0,25.0,2702.065897112645,18.047959089279175
500.0,5.0,50.0,2521.419934247632,41.06877064704895
500.0,10.0,5.0,2698.101186507908,2.203774929046631
500.0,10.0,10.0,2503.668235716442,14.251810312271118
500.0,10.0,25.0,2538.806329038669,22.63325047492981
500.0,10.0,50.0,2550.323173335156,47.801642656326294
500.0,25.0,5.0,2724.781724451972,3.6708908081054688
500.0,25.0,10.0,2684.324075369445,6.808152198791504
500.0,25.0,25.0,2688.1357196146478,17.035295486450195
500.0,25.0,50.0,2483.9624446265984,49.5371470451355
500.0,50.0,5.0,2501.992958859069,4.930507183074951
500.0,50.0,10.0,2536.004198215545,11.335424661636353
500.0,50.0,25.0,2545.279169875514,18.540137767791748
500.0,50.0,50.0,2508.177439880323,42.121273040771484
500.0,125.0,5.0,3327.5755502074694,0.22904586791992188
500.0,125.0,10.0,3240.328953427873,0.4416770935058594
500.0,125.0,25.0,3098.2790714896887,1.057079792022705
500.0,125.0,50.0,3139.827059338071,2.1155834197998047
1000.0,1.0,5.0,3286.7875462380607,3.3128576278686523
1000.0,1.0,10.0,2877.312286365329,17.77099108695984
1000.0,1.0,25.0,3057.554209577266,20.008708953857422
1000.0,1.0,50.0,2774.0082276278868,31.08045506477356
1000.0,5.0,5.0,3240.521673634132,3.9949467182159424
1000.0,5.0,10.0,3335.5718855964565,4.489310026168823
1000.0,5.0,25.0,2972.368616144775,41.770527839660645
1000.0,5.0,50.0,2954.5292065123394,60.05186867713928
1000.0,10.0,5.0,3177.192182996365,4.697188377380371
1000.0,10.0,10.0,3001.5660264168505,13.316922903060913
1000.0,10.0,25.0,3311.4799490738556,10.001856327056885
1000.0,10.0,50.0,3199.348813032746,21.069273471832275
1000.0,25.0,5.0,2998.256219678034,6.658323526382446
1000.0,25.0,10.0,3217.557480136544,6.324187994003296
1000.0,25.0,25.0,3241.350959980009,13.592437028884888
1000.0,25.0,50.0,2761.5264578357064,41.06063652038574
1000.0,50.0,5.0,3278.127426844006,3.1302669048309326
1000.0,50.0,10.0,3290.305909694628,7.77423357963562
1000.0,50.0,25.0,3174.56930541814,20.95933747291565
1000.0,50.0,50.0,2869.490121504423,59.657405853271484
1000.0,125.0,5.0,3221.363337689625,3.8863112926483154
1000.0,125.0,10.0,3091.7514700257193,9.27370023727417
1000.0,125.0,25.0,3170.5906608012965,9.798124551773071
1000.0,125.0,50.0,3072.7260652745854,34.742064237594604
2000.0,1.0,5.0,3750.845862917038,5.102724075317383
2000.0,1.0,10.0,3488.56040258147,10.688687801361084
2000.0,1.0,25.0,3594.4673025124152,16.455685138702393
2000.0,1.0,50.0,3457.795149256019,23.833272218704224
2000.0,5.0,5.0,3433.672698007613,3.4392149448394775
2000.0,5.0,10.0,3554.5475760015984,11.004973888397217
2000.0,5.0,25.0,3539.223958321825,12.424113512039185
2000.0,5.0,50.0,3368.7237784557683,41.61135768890381
2000.0,10.0,5.0,3691.7403654642526,4.740222215652466
2000.0,10.0,10.0,3649.4942634786153,6.32260274887085
2000.0,10.0,25.0,3497.8272432286985,13.976476192474365
2000.0,10.0,50.0,3283.751206132743,47.26786923408508
2000.0,25.0,5.0,3710.1996425619122,5.752466678619385
2000.0,25.0,10.0,3646.6357993277056,6.612438201904297
2000.0,25.0,25.0,3358.095848391271,19.986311197280884
2000.0,25.0,50.0,3256.9356263575078,27.596893072128296
2000.0,50.0,5.0,3685.0502354152327,3.494145631790161
2000.0,50.0,10.0,3687.7206629744264,8.107560396194458
2000.0,50.0,25.0,3397.1305130551323,14.844887733459473
2000.0,50.0,50.0,3482.1375875575804,31.261937856674194
2000.0,125.0,5.0,3652.2567232216675,5.2961647510528564
2000.0,125.0,10.0,3744.585252590712,4.973054647445679
2000.0,125.0,25.0,3528.4301158420453,23.394566297531128
2000.0,125.0,50.0,3161.2942922546404,33.87658357620239
4000.0,1.0,5.0,4115.192493305393,4.067755222320557
4000.0,1.0,10.0,3906.644695735236,5.913680791854858
4000.0,1.0,25.0,3667.6641927901424,20.518040418624878
4000.0,1.0,50.0,3540.396423509066,18.156903505325317
4000.0,5.0,5.0,4254.396909087933,2.1282198429107666
4000.0,5.0,10.0,4093.805600391947,4.969187021255493
4000.0,5.0,25.0,3657.2332439084294,18.111064434051514
4000.0,5.0,50.0,3753.737288021851,34.49853992462158
4000.0,10.0,5.0,3878.8863050155423,2.9025447368621826
4000.0,10.0,10.0,3781.3558936353784,7.913181304931641
4000.0,10.0,25.0,3668.5428789222774,15.518514633178711
4000.0,10.0,50.0,3905.4097469712874,17.99050259590149
4000.0,25.0,5.0,4199.429178838843,1.981187105178833
4000.0,25.0,10.0,4134.036197191813,4.542682647705078
4000.0,25.0,25.0,3854.5835561117315,11.307482481002808
4000.0,25.0,50.0,3733.4887530257765,36.012803077697754
4000.0,50.0,5.0,4068.3302459084794,2.9269683361053467
4000.0,50.0,10.0,3843.8958437617757,9.425566673278809
4000.0,50.0,25.0,3810.4892072581542,26.532806158065796
4000.0,50.0,50.0,3730.9394334084095,64.64004898071289
4000.0,125.0,5.0,4037.8581401173824,1.834380865097046
4000.0,125.0,10.0,3801.862444003501,6.368413686752319
4000.0,125.0,25.0,3995.8671836940293,12.289785385131836
4000.0,125.0,50.0,3844.5290841368765,17.493582725524902
8000.0,1.0,5.0,4139.280803619821,3.2324330806732178
8000.0,1.0,10.0,4180.674498485742,6.07408332824707
8000.0,1.0,25.0,3908.383589452851,16.034297943115234
8000.0,1.0,50.0,3883.7958014519227,29.300063133239746
8000.0,5.0,5.0,4284.497161607636,1.971733808517456
8000.0,5.0,10.0,4228.8474399797315,5.209373712539673
8000.0,5.0,25.0,3962.3179087231456,20.602238178253174
8000.0,5.0,50.0,4090.270754281492,30.47467589378357
8000.0,10.0,5.0,4079.2588369462114,2.5022759437561035
8000.0,10.0,10.0,4062.368213081886,4.177617311477661
8000.0,10.0,25.0,3825.2271572082273,12.320653438568115
8000.0,10.0,50.0,3487.8805051886707,30.287816524505615
8000.0,25.0,5.0,4387.81211144618,1.8170037269592285
8000.0,25.0,10.0,4149.9432639624965,7.87804651260376
8000.0,25.0,25.0,4012.468957607416,17.189080715179443
8000.0,25.0,50.0,4041.2864364698044,23.940898418426514
8000.0,50.0,5.0,4055.654473583572,1.9258708953857422
8000.0,50.0,10.0,4135.183581156056,6.3363189697265625
8000.0,50.0,25.0,4145.316377613523,19.65756106376648
8000.0,50.0,50.0,3779.8622157627738,31.28725838661194
8000.0,125.0,5.0,4168.501270410105,2.2933449745178223
8000.0,125.0,10.0,4067.6178977431387,5.672980785369873
8000.0,125.0,25.0,3950.5360477367335,8.480807781219482
8000.0,125.0,50.0,3868.414921057591,29.79140877723694
